"Indikator";"Erläuterung";"Bewertung (1-5)";"Gewichtung (1-3)"
"Transparenz und Fairness der Vergütungsstrukturen";"Die Klarheit und Nachvollziehbarkeit der Gehaltsfindung, der Gehaltsentwicklung und der Kriterien für Gehaltserhöhungen oder Boni, um eine gerechte und diskriminierungsfreie Entlohnung zu gewährleisten.";"";""
"Attraktivität der Sozialleistungen und Zusatzleistungen";"Das Spektrum und der Wert von nicht-monetären Leistungen wie betrieblicher Altersvorsorge, Krankenversicherungszuschüssen, Fahrtkostenerstattung, Essenszuschüssen, Firmenwagen oder Jobticket, die den Gesamtwert des Arbeitsplatzes erhöhen.";"";""
"Möglichkeiten für leistungsbezogene Boni oder Prämien";"Das Vorhandensein klar definierter Systeme zur Anerkennung und finanziellen Belohnung von überdurchschnittlicher Leistung, dem Erreichen von Zielen oder besonderen Erfolgen, die zur Motivation und Leistungsbereitschaft beitragen.";"";""
"Regelmäßige Gehaltsanpassungen und Inflationsausgleich";"Die Praxis des Unternehmens, Gehälter in regelmäßigen Abständen an die Inflation, die Marktentwicklung und die individuelle Leistungsentwicklung anzupassen, um die Kaufkraft der Mitarbeiter zu erhalten und zu steigern.";"";""
"Angebote zur betrieblichen Gesundheitsförderung";"Die Bereitstellung von Maßnahmen und Programmen zur Förderung der physischen und psychischen Gesundheit der Mitarbeiter, wie z.B.. Sportangebote, Gesundheitschecks, psychologische Beratung oder ergonomische Arbeitsplatzberatung.";"";""
"Klar definierte Karrierepfade und Aufstiegsmöglichkeiten";"Die Existenz und Transparenz von internen Karrierewegen, die es Mitarbeitern ermöglichen, sich beruflich weiterzuentwickeln, neue Positionen zu erreichen und ihre Kompetenzen systematisch auszubauen, was zur langfristigen Mitarbeiterbindung beiträgt.";"";""
"Investition in die Weiterbildung und Qualifizierung der Mitarbeiter";"Das Engagement des Unternehmens, in die kontinuierliche Fortbildung seiner Belegschaft zu investieren, um deren Fachkenntnisse auf dem neuesten Stand zu halten und sie für zukünftige Herausforderungen zu rüsten, was die Wettbewerbsfähigkeit des Unternehmens sichert.";"";""
"Sicherheit des Arbeitsplatzes und Stabilität des Unternehmens";"Die Einschätzung der langfristigen Beständigkeit der Arbeitsstelle, basierend auf der wirtschaftlichen Lage des Unternehmens, seiner Marktposition, seiner Innovationsfähigkeit und der allgemeinen Branchenentwicklung, um ein Gefühl der Sicherheit zu vermitteln.";"";""
"Übernahmechancen nach der Ausbildung/Befristung";"Die Wahrscheinlichkeit und die Bedingungen, unter denen Auszubildende nach erfolgreichem Abschluss ihrer Ausbildung oder befristet Angestellte in ein unbefristetes Arbeitsverhältnis übernommen werden, was eine wichtige Perspektive für die berufliche Zukunft darstellt.";"";""
"Relevanz des Berufsfeldes in der Zukunft und Anpassungsfähigkeit";"Die Bewertung, inwieweit das spezifische Berufsfeld zukunftsfähig ist, sich an neue Technologien und Marktbedingungen anpassen kann und somit langfristig relevant bleibt, um eine nachhaltige Karriereentwicklung zu gewährleisten.";"";""
"Innovationsfähigkeit und Zukunftsstrategie des Unternehmens";"Die Fähigkeit des Unternehmens, sich an veränderte Marktbedingungen anzupassen, neue Produkte oder Dienstleistungen zu entwickeln und eine klare Vision für die Zukunft zu haben, was die Attraktivität als Arbeitgeber erhöht.";"";""
"Reputation und Image des Unternehmens/Ausbildungsbetriebs";"Die öffentliche Wahrnehmung und der Ruf des Unternehmens als Arbeitgeber, basierend auf Faktoren wie Mitarbeiterzufriedenheit, ethischen Standards, Produktqualität und gesellschaftlichem Engagement, was die Attraktivität der Arbeitsstelle beeinflusst.";"";""
"Geografische Lage und Erreichbarkeit des Arbeitsplatzes";"Die Bewertung der Standortattraktivität, einschließlich der Nähe zum Wohnort, der Anbindung an öffentliche Verkehrsmittel, der Verfügbarkeit von Parkplätzen und der allgemeinen Infrastruktur in der Umgebung, die den täglichen Arbeitsweg beeinflusst.";"";""
"Einhaltung rechtlicher und ethischer Standards";"Die Gewährleistung, dass das Unternehmen alle relevanten Gesetze, Vorschriften und ethischen Richtlinien einhält, insbesondere in Bezug auf Arbeitsrecht, Datenschutz, Umweltschutz und faire Geschäftspraktiken, was ein vertrauenswürdiges Arbeitsumfeld schafft.";"";""
"Flexibilität der Arbeitszeiten und Arbeitsmodelle";"Die Möglichkeit, Arbeitszeiten an individuelle Bedürfnisse anzupassen, wie z.B.. Gleitzeit, Teilzeitmodelle, Vertrauensarbeitszeit oder die Option, Arbeitsstunden zu komprimieren, um eine bessere Vereinbarkeit von Beruf und Privatleben zu ermöglichen.";"";""
"Qualität der Betreuung und Unterstützung während der Ausbildung/Einarbeitung";"Die Intensität und Qualität der Unterstützung durch Ausbilder, Mentoren oder Kollegen, die über die reine Einarbeitung hinausgeht und eine kontinuierliche Begleitung bei fachlichen und persönlichen Herausforderungen bietet.";"";""
"Einbindung in Entscheidungsprozesse und Mitspracherecht";"Das Ausmaß, in dem Mitarbeiter oder Auszubildende die Möglichkeit haben, ihre Meinungen einzubringen, an relevanten Entscheidungsprozessen teilzuhaben und somit aktiv zur Gestaltung ihres Arbeitsumfelds beizutragen.";"";""
"Übereinstimmung mit persönlichen Werten und Interessen";"Der Grad, in dem die Tätigkeit oder Ausbildung mit den individuellen Überzeugungen, Leidenschaften und langfristigen Zielen des Bewerbers harmoniert, was zu einer höheren Arbeitszufriedenheit und Motivation führt.";"";""
"Möglichkeit zur Entfaltung persönlicher Stärken und Talente";"Das Ausmaß, in dem die Arbeitsstelle oder Ausbildung Gelegenheiten bietet, individuelle Fähigkeiten, Begabungen und Kompetenzen nicht nur anzuwenden, sondern auch gezielt weiterzuentwickeln und in neue Bereiche einzubringen.";"";""
"Einsatz moderner Technologien und Arbeitsmethoden";"Die Nutzung und Integration von aktuellen Technologien, Softwarelösungen und innovativen Arbeitsmethoden im Arbeitsalltag, die Effizienz steigern und zukunftsrelevante Kompetenzen vermitteln.";"";""
"Bereitschaft zur Adaption und Förderung von Innovationen";"Die Offenheit des Unternehmens gegenüber neuen Ideen, Technologien und Prozessen sowie die aktive Förderung einer Kultur, die Experimente und kontinuierliche Verbesserung unterstützt.";"";""
"Unterstützung bei der Vereinbarkeit von Beruf und Privatleben";"Die Bereitstellung von Maßnahmen und Angeboten, die es Mitarbeitern erleichtern, berufliche Anforderungen mit privaten Verpflichtungen (z.B.. Familie, Pflege) in Einklang zu bringen, wie flexible Arbeitszeiten, Home-Office-Optionen oder Kinderbetreuungszuschüsse.";"";""
"Angemessenheit der Arbeitsbelastung und Stressmanagement";"Die Bewertung, inwieweit die Arbeitsmenge und der Druck als realistisch und handhabbar empfunden werden, sowie das Vorhandensein von Strategien und Unterstützungssystemen zur Prävention und Bewältigung von Stress.";"";""
"Förderung von Vielfalt und Chancengleichheit";"Das Engagement des Unternehmens für eine diverse Belegschaft und die Schaffung gleicher Chancen für alle Mitarbeiter, unabhängig von Geschlecht, Herkunft, Alter, sexueller Orientierung oder körperlichen Fähigkeiten, sowie die Implementierung von Antidiskriminierungsrichtlinien.";"";""
"Inklusive Arbeitsumgebung und Wertschätzung von Unterschieden";"Die Existenz einer Kultur, in der alle Mitarbeiter sich willkommen, respektiert und wertgeschätzt fühlen, ihre individuellen Perspektiven einbringen können und Unterschiede als Bereicherung für das Team und das Unternehmen angesehen werden.";"";""
